85;2444
63;2770
65;2622
67;2566
69;2556
71;2520
74;2505
76;2480
78;2470
80;2461
83;2458
85;2444
87;2447
89;2457
91;2462
93;2468
96;2477
98;2503
100;2537
102;2544
104;2589
118;2851
120;2912
122;3019
124;3080
126;3173
128;3291
131;3414
133;1654
135;1703
138;1672
140;1618
154;5616
157;5316
160;1124
162;1126
168;4952
170;4927
172;4938
174;2215
178;4895
181;4902
183;4902
185;4931
187;4938
189;4959
191;5027
194;1877
211;757
213;767
229;4219
231;4050
244;3854
246;3661
248;3605
250;3584
252;3565
255;3537
257;3494
259;3517
261;3485
263;3487
265;3462
268;3377
270;3398
272;3421
274;3429
276;3441
279;3452
281;3464
283;3462
285;3566
303;2983
305;2305
307;2377
322;2275
335;741
337;721
339;681
342;588
344;573
346;567
348;566
350;566
353;564
355;561
357;559
359;568
1;571
3;580
5;588
8;618
10;582
12;554
14;551
17;564
27;2279
30;2359
32;2412
34;2488
36;2559
38;2639
41;2449
43;2857
45;2987
47;2933
51;2763
62;2802
64;2659
67;2592
69;2556
71;2539
73;2507
75;2476
78;2469
80;2457
82;2448
84;2457
86;2458
89;2445
91;2458
93;2469
95;2490
97;2509
100;2518
102;2546
104;2562
119;2908
121;3011
124;3063
126;3104
128;3269
130;3371
132;3498
135;1686
137;1678
139;1628
154;5725
156;4922
159;1126
161;1122
167;4975
169;4949
171;4909
174;4922
180;4911
182;4920
184;4918
187;4933
189;4954
191;5065
196;1915
210;757
212;763
228;4247
230;4070
232;3751
246;3721
248;3637
250;3596
252;3573
254;3554
256;3525
259;3494
261;3493
263;3474
265;3463
267;3407
269;3386
271;3410
274;3418
276;3432
278;3449
280;3519
283;3461
285;3481
287;3456
302;2960
307;2361
309;2450
322;2295
324;2129
334;751
336;718
338;738
341;598
343;575
346;568
348;567
350;566
352;565
354;561
357;559
359;562
1;568
3;579
5;586
7;584
9;594
12;557
14;550
16;559
27;2271
29;2336
31;2386
33;2472
36;2539
38;2627
40;2467
42;2839
44;2954
49;2925
51;2814
62;2843
64;2678
66;2613
68;2564
71;2543
73;2512
75;2493
77;2471
79;2461
81;2462
84;2444
86;2444
88;2462
90;2450
93;2473
95;2468
97;2498
99;2510
101;2536
103;2558
106;2641
119;2895
121;2971
123;3047
125;3105
127;3257
130;3356
132;3491
134;1670
137;1689
139;1641
156;5261
159;1136
161;1118
167;4989
169;4959
171;4952
173;4913
180;4891
182;4906
184;4933
186;4933
188;4940
191;5010
193;5029
195;1884
210;760
212;760
230;4165
232;3887
245;3772
247;3641
249;3595
251;3568
254;3551
256;3505
258;3524
260;3490
262;3478
264;3489
267;3405
269;3400
271;3389
273;3409
275;3435
278;3460
280;3516
282;3453
284;3470
286;3613
302;2942
304;3023
306;2341
308;2436
321;2333
324;2191
334;773
336;720
338;725
341;622
343;577
345;569
347;568
349;566
351;565
354;561
356;560
358;558
0;567
2;576
5;584
7;580
11;559
13;550
16;555
29;2317
31;2375
33;2445
35;2520
37;2590
40;2484
42;2804
44;2903
46;3040
48;2910
50;2870
63;2724
66;2602
68;2568
70;2548
72;2516
74;2499
76;2483
79;2467
81;2458
83;2445
85;2446
88;2445
90;2458
92;2464
94;2476
96;2477
98;2503
101;2521
103;2552
105;2613
118;2862
120;2951
123;3038
125;3076
127;3200
129;3301
131;3453
134;1649
136;1711
138;1654
155;5543
160;1119
163;1134
166;4998
168;4970
170;4922
172;4900
179;4891
181;4900
183;4929
186;4909
188;4954
190;4954
192;5041
195;1878
209;755
211;757
213;775
229;4182
231;3972
244;3852
247;3654
249;3596
251;3562
253;3552
255;3538
257;3526
260;3513
262;3492
264;3471
266;3423
268;3400
270;3417
273;3413
275;3418
277;3445
279;3453
281;3442
284;3462
286;3598
303;3000
305;2318
308;2401
323;2236
335;731
337;719
340;663
342;579
344;571
347;567
349;567
351;565
